month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
9,3,3,4.0,3.0,0,1,290000.0,310000.0,False,False,True,180000
2,1,0,4.5,2.8,0,1,455000.0,465000.0,False,False,False,510000
2,1,0,4.5,2.8,0,1,365000.0,356415.0,False,False,False,730000
3,1,1,4.5,2.6,0,1,196000.0,196000.0,False,True,False,135000
9,3,3,4.0,3.0,0,1,455000.0,420000.0,False,True,False,435000
4,2,1,4.25,3.5,0,1,285000.0,340000.0,False,False,False,965000
7,3,2,4.25,3.2,0,1,220000.0,245000.0,False,False,True,317500
7,3,2,4.25,3.2,0,0,215000.0,218375.0,False,False,True,185000
12,4,0,4.0,2.8,0,1,164972.5,167250.0,False,True,False,165000
6,2,2,4.25,3.3,0,1,250000.0,216500.0,False,False,False,200000
5,2,1,4.25,3.4,0,0,527500.0,574000.0,True,False,False,365000
3,1,1,4.5,2.6,0,1,177500.0,160000.0,False,False,False,300000
2,1,0,4.5,2.8,0,1,320000.0,340000.0,False,False,False,341000
2,1,0,4.5,2.8,0,1,237500.0,245000.0,False,False,False,375000
8,3,2,4.25,3.1,0,1,160000.0,178000.0,False,True,False,190000
6,2,2,4.25,3.3,0,0,527500.0,420000.0,True,False,False,315000
3,1,1,4.5,2.6,0,1,180000.0,160000.0,False,False,False,310000
10,4,3,4.0,3.0,0,1,355000.0,361750.0,False,True,False,300000
1,1,0,4.75,3.0,0,1,385000.0,445000.0,False,False,True,417500
2,1,0,4.5,2.8,0,1,230000.0,230000.0,False,False,True,125000
11,4,3,4.0,2.9,0,1,527500.0,574000.0,False,False,False,2180000
1,1,0,4.75,3.0,0,1,175000.0,174000.0,False,False,False,195000
2,1,0,4.5,2.8,0,1,505000.0,445000.0,False,True,False,380000
9,3,3,4.0,3.0,0,1,290000.0,275000.0,False,False,False,422500
3,1,1,4.5,2.6,1,1,237500.0,227000.0,False,False,False,324900
6,2,2,4.25,3.3,0,1,216975.0,220000.0,False,True,False,198000
9,3,3,4.0,3.0,0,1,455000.0,415000.0,False,True,False,520000
1,1,0,4.75,3.0,0,1,455000.0,410000.0,False,True,False,277500
11,4,3,4.0,2.9,0,0,455000.0,794325.0,True,False,False,620000
11,4,3,4.0,2.9,0,1,235000.0,250000.0,False,True,False,187500
3,1,1,4.5,2.6,0,1,240500.0,250000.0,False,True,False,415000
7,3,2,4.25,3.2,0,1,355000.0,360000.0,False,True,False,450000
7,3,2,4.25,3.2,0,1,215000.0,245000.0,False,True,False,205000
9,3,3,4.0,3.0,0,1,355000.0,380000.0,False,False,False,975000
8,3,2,4.25,3.1,0,1,505000.0,432500.0,False,False,False,580000
11,4,3,4.0,2.9,1,1,204995.0,255950.0,False,False,False,474952
3,1,1,4.5,2.6,0,1,527500.0,574000.0,False,False,True,840000
7,3,2,4.25,3.2,0,1,204995.0,144000.0,False,False,True,153000
2,1,0,4.5,2.8,0,1,260000.0,337500.0,False,False,False,450000
