town,town_median
ABBOTS LANGLEY,441169.0
ABERAERON,243750.0
ABERDARE,155000.0
ABERDOVEY,280000.0
ABERGAVENNY,310000.0
ABERGELE,210000.0
ABERTILLERY,135000.0
ABERYSTWYTH,215000.0
ABINGDON,410750.0
ACCRINGTON,136000.0
ADDLESTONE,440000.0
ALCESTER,329000.0
ALDEBURGH,550000.0
ALDERLEY EDGE,530000.0
ALDERSHOT,368250.0
ALFORD,230000.0
ALFRETON,202750.0
ALNWICK,285000.0
ALRESFORD,570000.0
ALSTON,190000.0
ALTON,450000.0
ALTRINCHAM,450000.0
AMBLESIDE,472500.0
AMERSHAM,710000.0
AMLWCH,198475.0
AMMANFORD,180000.0
ANDOVER,320000.0
APPLEBY-IN-WESTMORLAND,235000.0
ARLESEY,330000.0
ARTHOG,160000.0
ARUNDEL,387500.0
ASCOT,630000.0
ASHBOURNE,350000.0
ASHBY-DE-LA-ZOUCH,315000.0
ASHFORD,355000.0
ASHINGTON,144000.0
ASHTEAD,703500.0
ASHTON-UNDER-LYNE,200500.0
ASKAM-IN-FURNESS,230000.0
ATHERSTONE,263500.0
ATTLEBOROUGH,292500.0
AXBRIDGE,345000.0
AXMINSTER,293500.0
AYLESBURY,385000.0
AYLESFORD,385000.0
BACUP,165000.0
BADMINTON,480000.0
BAGILLT,182500.0
BAGSHOT,435000.0
BAKEWELL,375000.0
BALA,152000.0
BALDOCK,352500.0
BAMBURGH,625000.0
BAMPTON,459375.0
BANBURY,340000.0
BANGOR,180000.0
BANSTEAD,635000.0
BANWELL,315000.0
BARGOED,140000.0
BARKING,362250.0
BARMOUTH,212500.0
BARNARD CASTLE,250000.0
BARNET,621500.0
BARNETBY,220000.0
BARNOLDSWICK,155500.0
BARNSLEY,177000.0
BARNSTAPLE,285000.0
BARROW-IN-FURNESS,155000.0
BARROW-UPON-HUMBER,229644.0
BARRY,233000.0
BARTON-UPON-HUMBER,190000.0
BASILDON,330000.0
BASINGSTOKE,350000.0
BATH,445000.0
BATLEY,180000.0
BATTLE,419500.0
BEACONSFIELD,970000.0
BEAMINSTER,350000.0
BEAUMARIS,295000.0
BEAWORTHY,294975.0
BECCLES,282000.0
BECKENHAM,550000.0
BECKERMET,285000.0
BEDALE,289995.0
BEDFORD,357000.0
BEDLINGTON,166245.5
BEDWORTH,240000.0
BELFORD,250000.0
BELPER,265000.0
BELVEDERE,370000.0
BEMBRIDGE,435000.0
BENFLEET,395000.0
BERKELEY,325000.0
BERKHAMSTED,625000.0
BERWICK-UPON-TWEED,193500.0
BETCHWORTH,635000.0
BETWS-Y-COED,184250.0
BEVERLEY,260000.0
BEWDLEY,305000.0
BEXHILL-ON-SEA,310000.0
BEXLEY,524250.0
BEXLEYHEATH,470000.0
BICESTER,375000.0
BIDEFORD,275000.0
BIGGLESWADE,350000.0
BILLERICAY,497500.0
BILLINGHAM,169500.0
BILLINGSHURST,450000.0
BILSTON,205000.0
